😀 grinning face	happy smile cheerful
🏃🏻 person running: light skin tone	run jog sprint exercise fast
🏃🏼 person running: medium-light skin tone	run jog sprint exercise fast
🏃🏽 person running: medium skin tone	run jog sprint exercise fast
🏃🏾 person running: medium-dark skin tone	run jog sprint exercise fast
🏃🏿 person running: dark skin tone	run jog sprint exercise fast
🏃‍♂️ man running	run jog sprint exercise fast
🏃🏻‍♂️ man running: light skin tone	run jog sprint exercise fast
🏃🏼‍♂️ man running: medium-light skin tone	run jog sprint exercise fast
🏃🏽‍♂️ man running: medium skin tone	run jog sprint exercise fast
🏃🏾‍♂️ man running: medium-dark skin tone	run jog sprint exercise fast
🏃🏿‍♂️ man running: dark skin tone	run jog sprint exercise fast
🏃‍♀️ woman running	run jog sprint exercise fast
🏃🏻‍♀️ woman running: light skin tone	run jog sprint exercise fast
🏃🏼‍♀️ woman running: medium-light skin tone	run jog sprint exercise fast
🏃🏽‍♀️ woman running: medium skin tone	run jog sprint exercise fast
🏃🏾‍♀️ woman running: medium-dark skin tone	run jog sprint exercise fast
🏃🏿‍♀️ woman running: dark skin tone	run jog sprint exercise fast
💃 woman dancing
💃🏻 woman dancing: light skin tone
💃🏼 woman dancing: medium-light skin tone
💃🏽 woman dancing: medium skin tone
💃🏾 woman dancing: medium-dark skin tone
💃🏿 woman dancing: dark skin tone
🕺 man dancing
🕺🏻 man dancing: light skin tone
🕺🏼 man dancing: medium-light skin tone
🕺🏽 man dancing: medium skin tone
🕺🏾 man dancing: medium-dark skin tone
🕺🏿 man dancing: dark skin tone
🕴️ person in suit levitating	cool boss business float smooth
🕴🏻 person in suit levitating: light skin tone	cool boss business float smooth
🕴🏼 person in suit levitating: medium-light skin tone	cool boss business float smooth
🕴🏽 person in suit levitating: medium skin tone	cool boss business float smooth
🕴🏾 person in suit levitating: medium-dark skin tone	cool boss business float smooth
🕴🏿 person in suit levitating: dark skin tone	cool boss business float smooth
👯 people with bunny ears
👯‍♂️ men with bunny ears
👯‍♀️ women with bunny ears
🧖 person in steamy room
🧖🏻 person in steamy room: light skin tone
🧖🏼 person in steamy room: medium-light skin tone
🧖🏽 person in steamy room: medium skin tone
🧖🏾 person in steamy room: medium-dark skin tone
🧖🏿 person in steamy room: dark skin tone
🧖‍♂️ man in steamy room
🧖🏻‍♂️ man in steamy room: light skin tone
🧖🏼‍♂️ man in steamy room: medium-light skin tone
🧖🏽‍♂️ man in steamy room: medium skin tone
🧖🏾‍♂️ man in steamy room: medium-dark skin tone
🧖🏿‍♂️ man in steamy room: dark skin tone
🧖‍♀️ woman in steamy room
🧖🏻‍♀️ woman in steamy room: light skin tone
🧖🏼‍♀️ woman in steamy room: medium-light skin tone
🧖🏽‍♀️ woman in steamy room: medium skin tone
🧖🏾‍♀️ woman in steamy room: medium-dark skin tone
🧖🏿‍♀️ woman in steamy room: dark skin tone
🧗 person climbing	climb rock boulder sport
🧗🏻 person climbing: light skin tone	climb rock boulder sport
🧗🏼 person climbing: medium-light skin tone	climb rock boulder sport
🧗🏽 person climbing: medium skin tone	climb rock boulder sport
🧗🏾 person climbing: medium-dark skin tone	climb rock boulder sport
🧗🏿 person climbing: dark skin tone	climb rock boulder sport
🧗‍♂️ man climbing	climb rock boulder sport
🧗🏻‍♂️ man climbing: light skin tone	climb rock boulder sport
🧗🏼‍♂️ man climbing: medium-light skin tone	climb rock boulder sport
🧗🏽‍♂️ man climbing: medium skin tone	climb rock boulder sport
🧗🏾‍♂️ man climbing: medium-dark skin tone	climb rock boulder sport
🧗🏿‍♂️ man climbing: dark skin tone	climb rock boulder sport
🧗‍♀️ woman climbing	climb rock boulder sport
🧗🏻‍♀️ woman climbing: light skin tone	climb rock boulder sport
🧗🏼‍♀️ woman climbing: medium-light skin tone	climb rock boulder sport
🧗🏽‍♀️ woman climbing: medium skin tone	climb rock boulder sport
🧗🏾‍♀️ woman climbing: medium-dark skin tone	climb rock boulder sport
🧗🏿‍♀️ woman climbing: dark skin tone	climb rock boulder sport
🤺 person fencing
🏇 horse racing
🏇🏻 horse racing: light skin tone
🏇🏼 horse racing: medium-light skin tone
🏇🏽 horse racing: medium skin tone
🏇🏾 horse racing: medium-dark skin tone
🏇🏿 horse racing: dark skin tone
⛷️ skier
🏂 snowboarder
🏂🏻 snowboarder: light skin tone
🏂🏼 snowboarder: medium-light skin tone
🏂🏽 snowboarder: medium skin tone
🏂🏾 snowboarder: medium-dark skin tone
🏂🏿 snowboarder: dark skin tone
🏌️ person golfing
🏌🏻 person golfing: light skin tone
🏌🏼 person golfing: medium-light skin tone
🏌🏽 person golfing: medium skin tone
🏌🏾 person golfing: medium-dark skin tone
🏌🏿 person golfing: dark skin tone
🏌️‍♂️ man golfing
🏌🏻‍♂️ man golfing: light skin tone
🏌🏼‍♂️ man golfing: medium-light skin tone
🏌🏽‍♂️ man golfing: medium skin tone
🏌🏾‍♂️ man golfing: medium-dark skin tone
🏌🏿‍♂️ man golfing: dark skin tone
🏌️‍♀️ woman golfing
🏌🏻‍♀️ woman golfing: light skin tone
🏌🏼‍♀️ woman golfing: medium-light skin tone
🏌🏽‍♀️ woman golfing: medium skin tone
🏌🏾‍♀️ woman golfing: medium-dark skin tone
🏌🏿‍♀️ woman golfing: dark skin tone
🏄 person surfing	surf wave beach ocean sport
🏄🏻 person surfing: light skin tone	surf wave beach ocean sport
🏄🏼 person surfing: medium-light skin tone	surf wave beach ocean sport
🏄🏽 person surfing: medium skin tone	surf wave beach ocean sport
🏄🏾 person surfing: medium-dark skin tone	surf wave beach ocean sport
🏄🏿 person surfing: dark skin tone	surf wave beach ocean sport
🏄‍♂️ man surfing	surf wave beach ocean sport
🏄🏻‍♂️ man surfing: light skin tone	surf wave beach ocean sport
🏄🏼‍♂️ man surfing: medium-light skin tone	surf wave beach ocean sport
🏄🏽‍♂️ man surfing: medium skin tone	surf wave beach ocean sport
🏄🏾‍♂️ man surfing: medium-dark skin tone	surf wave beach ocean sport
🏄🏿‍♂️ man surfing: dark skin tone	surf wave beach ocean sport
🏄‍♀️ woman surfing	surf wave beach ocean sport
🏄🏻‍♀️ woman surfing: light skin tone	surf wave beach ocean sport
🏄🏼‍♀️ woman surfing: medium-light skin tone	surf wave beach ocean sport
🏄🏽‍♀️ woman surfing: medium skin tone	surf wave beach ocean sport
🏄🏾‍♀️ woman surfing: medium-dark skin tone	surf wave beach ocean sport
🏄🏿‍♀️ woman surfing: dark skin tone	surf wave beach ocean sport
🚣 person rowing boat	rowing kayak canoe boat
🚣🏻 person rowing boat: light skin tone	rowing kayak canoe boat
🚣🏼 person rowing boat: medium-light skin tone	rowing kayak canoe boat
🚣🏽 person rowing boat: medium skin tone	rowing kayak canoe boat
🚣🏾 person rowing boat: medium-dark skin tone	rowing kayak canoe boat
🚣🏿 person rowing boat: dark skin tone	rowing kayak canoe boat
🚣‍♂️ man rowing boat	rowing kayak canoe boat
🚣🏻‍♂️ man rowing boat: light skin tone	rowing kayak canoe boat
🚣🏼‍♂️ man rowing boat: medium-light skin tone	rowing kayak canoe boat
🚣🏽‍♂️ man rowing boat: medium skin tone	rowing kayak canoe boat
🚣🏾‍♂️ man rowing boat: medium-dark skin tone	rowing kayak canoe boat
🚣🏿‍♂️ man rowing boat: dark skin tone	rowing kayak canoe boat
🚣‍♀️ woman rowing boat	rowing kayak canoe boat
🚣🏻‍♀️ woman rowing boat: light skin tone	rowing kayak canoe boat
🚣🏼‍♀️ woman rowing boat: medium-light skin tone	rowing kayak canoe boat
🚣🏽‍♀️ woman rowing boat: medium skin tone	rowing kayak canoe boat
🚣🏾‍♀️ woman rowing boat: medium-dark skin tone	rowing kayak canoe boat
🚣🏿‍♀️ woman rowing boat: dark skin tone	rowing kayak canoe boat
🏊 person swimming	swim pool water sport
🏊🏻 person swimming: light skin tone	swim pool water sport
🏊🏼 person swimming: medium-light skin tone	swim pool water sport
🏊🏽 person swimming: medium skin tone	swim pool water sport
🏊🏾 person swimming: medium-dark skin tone	swim pool water sport
🏊🏿 person swimming: dark skin tone	swim pool water sport
🏊‍♂️ man swimming	swim pool water sport
🏊🏻‍♂️ man swimming: light skin tone	swim pool water sport
🏊🏼‍♂️ man swimming: medium-light skin tone	swim pool water sport
🏊🏽‍♂️ man swimming: medium skin tone	swim pool water sport
🏊🏾‍♂️ man swimming: medium-dark skin tone	swim pool water sport
🏊🏿‍♂️ man swimming: dark skin tone	swim pool water sport
🏊‍♀️ woman swimming	swim pool water sport
🏊🏻‍♀️ woman swimming: light skin tone	swim pool water sport
🏊🏼‍♀️ woman swimming: medium-light skin tone	swim pool water sport
🏊🏽‍♀️ woman swimming: medium skin tone	swim pool water sport
🏊🏾‍♀️ woman swimming: medium-dark skin tone	swim pool water sport
🏊🏿‍♀️ woman swimming: dark skin tone	swim pool water sport
⛹️ person bouncing ball
⛹🏻 person bouncing ball: light skin tone
⛹🏼 person bouncing ball: medium-light skin tone
⛹🏽 person bouncing ball: medium skin tone
⛹🏾 person bouncing ball: medium-dark skin tone
⛹🏿 person bouncing ball: dark skin tone
⛹️‍♂️ man bouncing ball
⛹🏻‍♂️ man bouncing ball: light skin tone
⛹🏼‍♂️ man bouncing ball: medium-light skin tone
⛹🏽‍♂️ man bouncing ball: medium skin tone
⛹🏾‍♂️ man bouncing ball: medium-dark skin tone
⛹🏿‍♂️ man bouncing ball: dark skin tone
⛹️‍♀️ woman bouncing ball
⛹🏻‍♀️ woman bouncing ball: light skin tone
⛹🏼‍♀️ woman bouncing ball: medium-light skin tone
⛹🏽‍♀️ woman bouncing ball: medium skin tone
⛹🏾‍♀️ woman bouncing ball: medium-dark skin tone
⛹🏿‍♀️ woman bouncing ball: dark skin tone
🏋️ person lifting weights	gym weights workout exercise lift
🏋🏻 person lifting weights: light skin tone	gym weights workout exercise lift
🏋🏼 person lifting weights: medium-light skin tone	gym weights workout exercise lift
🏋🏽 person lifting weights: medium skin tone	gym weights workout exercise lift
🏋🏾 person lifting weights: medium-dark skin tone	gym weights workout exercise lift
🏋🏿 person lifting weights: dark skin tone	gym weights workout exercise lift
🏋️‍♂️ man lifting weights	gym weights workout exercise lift
🏋🏻‍♂️ man lifting weights: light skin tone	gym weights workout exercise lift
🏋🏼‍♂️ man lifting weights: medium-light skin tone	gym weights workout exercise lift
🏋🏽‍♂️ man lifting weights: medium skin tone	gym weights workout exercise lift
🏋🏾‍♂️ man lifting weights: medium-dark skin tone	gym weights workout exercise lift
🏋🏿‍♂️ man lifting weights: dark skin tone	gym weights workout exercise lift
🏋️‍♀️ woman lifting weights	gym weights workout exercise lift
🏋🏻‍♀️ woman lifting weights: light skin tone	gym weights workout exercise lift
🏋🏼‍♀️ woman lifting weights: medium-light skin tone	gym weights workout exercise lift
🏋🏽‍♀️ woman lifting weights: medium skin tone	gym weights workout exercise lift
🏋🏾‍♀️ woman lifting weights: medium-dark skin tone	gym weights workout exercise lift
🏋🏿‍♀️ woman lifting weights: dark skin tone	gym weights workout exercise lift
🚴 person biking	cycling bike bicycle ride sport
🚴🏻 person biking: light skin tone	cycling bike bicycle ride sport
🚴🏼 person biking: medium-light skin tone	cycling bike bicycle ride sport
🚴🏽 person biking: medium skin tone	cycling bike bicycle ride sport
🚴🏾 person biking: medium-dark skin tone	cycling bike bicycle ride sport
🚴🏿 person biking: dark skin tone	cycling bike bicycle ride sport
🚴‍♂️ man biking	cycling bike bicycle ride sport
🚴🏻‍♂️ man biking: light skin tone	cycling bike bicycle ride sport
🚴🏼‍♂️ man biking: medium-light skin tone	cycling bike bicycle ride sport
🚴🏽‍♂️ man biking: medium skin tone	cycling bike bicycle ride sport
🚴🏾‍♂️ man biking: medium-dark skin tone	cycling bike bicycle ride sport
🚴🏿‍♂️ man biking: dark skin tone	cycling bike bicycle ride sport
🚴‍♀️ woman biking	cycling bike bicycle ride sport
🚴🏻‍♀️ woman biking: light skin tone	cycling bike bicycle ride sport
🚴🏼‍♀️ woman biking: medium-light skin tone	cycling bike bicycle ride sport
🚴🏽‍♀️ woman biking: medium skin tone	cycling bike bicycle ride sport
🚴🏾‍♀️ woman biking: medium-dark skin tone	cycling bike bicycle ride sport
🚴🏿‍♀️ woman biking: dark skin tone	cycling bike bicycle ride sport
🚵 person mountain biking	mtb cycling bike trail sport
🚵🏻 person mountain biking: light skin tone	mtb cycling bike trail sport
🚵🏼 person mountain biking: medium-light skin tone	mtb cycling bike trail sport
🚵🏽 person mountain biking: medium skin tone	mtb cycling bike trail sport
🚵🏾 person mountain biking: medium-dark skin tone	mtb cycling bike trail sport
🚵🏿 person mountain biking: dark skin tone	mtb cycling bike trail sport
🚵‍♂️ man mountain biking	mtb cycling bike trail sport
🚵🏻‍♂️ man mountain biking: light skin tone	mtb cycling bike trail sport
🚵🏼‍♂️ man mountain biking: medium-light skin tone	mtb cycling bike trail sport
🚵🏽‍♂️ man mountain biking: medium skin tone	mtb cycling bike trail sport
🚵🏾‍♂️ man mountain biking: medium-dark skin tone	mtb cycling bike trail sport
🚵🏿‍♂️ man mountain biking: dark skin tone	mtb cycling bike trail sport
🚵‍♀️ woman mountain biking	mtb cycling bike trail sport
🚵🏻‍♀️ woman mountain biking: light skin tone	mtb cycling bike trail sport
🚵🏼‍♀️ woman mountain biking: medium-light skin tone	mtb cycling bike trail sport
🚵🏽‍♀️ woman mountain biking: medium skin tone	mtb cycling bike trail sport
🚵🏾‍♀️ woman mountain biking: medium-dark skin tone	mtb cycling bike trail sport
🚵🏿‍♀️ woman mountain biking: dark skin tone	mtb cycling bike trail sport
🤸 person cartwheeling
🤸🏻 person cartwheeling: light skin tone
🤸🏼 person cartwheeling: medium-light skin tone
🤸🏽 person cartwheeling: medium skin tone
🤸🏾 person cartwheeling: medium-dark skin tone
🤸🏿 person cartwheeling: dark skin tone
🤸‍♂️ man cartwheeling
🤸🏻‍♂️ man cartwheeling: light skin tone
🤸🏼‍♂️ man cartwheeling: medium-light skin tone
🤸🏽‍♂️ man cartwheeling: medium skin tone
🤸🏾‍♂️ man cartwheeling: medium-dark skin tone
🤸🏿‍♂️ man cartwheeling: dark skin tone
🤸‍♀️ woman cartwheeling
🤸🏻‍♀️ woman cartwheeling: light skin tone
🤸🏼‍♀️ woman cartwheeling: medium-light skin tone
🤸🏽‍♀️ woman cartwheeling: medium skin tone
🤸🏾‍♀️ woman cartwheeling: medium-dark skin tone
🤸🏿‍♀️ woman cartwheeling: dark skin tone
🤼 people wrestling
🤼‍♂️ men wrestling
🤼‍♀️ women wrestling
🤽 person playing water polo
🤽🏻 person playing water polo: light skin tone
🤽🏼 person playing water polo: medium-light skin tone
🤽🏽 person playing water polo: medium skin tone
🤽🏾 person playing water polo: medium-dark skin tone
🤽🏿 person playing water polo: dark skin tone
🤽‍♂️ man playing water polo
🤽🏻‍♂️ man playing water polo: light skin tone
🤽🏼‍♂️ man playing water polo: medium-light skin tone
🤽🏽‍♂️ man playing water polo: medium skin tone
🤽🏾‍♂️ man playing water polo: medium-dark skin tone
🤽🏿‍♂️ man playing water polo: dark skin tone
🤽‍♀️ woman playing water polo
🤽🏻‍♀️ woman playing water polo: light skin tone
🤽🏼‍♀️ woman playing water polo: medium-light skin tone
🤽🏽‍♀️ woman playing water polo: medium skin tone
🤽🏾‍♀️ woman playing water polo: medium-dark skin tone
🤽🏿‍♀️ woman playing water polo: dark skin tone
🤾 person playing handball
🤾🏻 person playing handball: light skin tone
🤾🏼 person playing handball: medium-light skin tone
🤾🏽 person playing handball: medium skin tone
🤾🏾 person playing handball: medium-dark skin tone
🤾🏿 person playing handball: dark skin tone
🤾‍♂️ man playing handball
🤾🏻‍♂️ man playing handball: light skin tone
🤾🏼‍♂️ man playing handball: medium-light skin tone
🤾🏽‍♂️ man playing handball: medium skin tone
🤾🏾‍♂️ man playing handball: medium-dark skin tone
🤾🏿‍♂️ man playing handball: dark skin tone
🤾‍♀️ woman playing handball
🤾🏻‍♀️ woman playing handball: light skin tone
🤾🏼‍♀️ woman playing handball: medium-light skin tone
🤾🏽‍♀️ woman playing handball: medium skin tone
🤾🏾‍♀️ woman playing handball: medium-dark skin tone
🤾🏿‍♀️ woman playing handball: dark skin tone
🤹 person juggling
🤹🏻 person juggling: light skin tone
🤹🏼 person juggling: medium-light skin tone
🤹🏽 person juggling: medium skin tone
🤹🏾 person juggling: medium-dark skin tone
🤹🏿 person juggling: dark skin tone
🤹‍♂️ man juggling
🤹🏻‍♂️ man juggling: light skin tone
🤹🏼‍♂️ man juggling: medium-light skin tone
🤹🏽‍♂️ man juggling: medium skin tone
🤹🏾‍♂️ man juggling: medium-dark skin tone
🤹🏿‍♂️ man juggling: dark skin tone
🤹‍♀️ woman juggling
🤹🏻‍♀️ woman juggling: light skin tone
🤹🏼‍♀️ woman juggling: medium-light skin tone
🤹🏽‍♀️ woman juggling: medium skin tone
🤹🏾‍♀️ woman juggling: medium-dark skin tone
🤹🏿‍♀️ woman juggling: dark skin tone
🧘 person in lotus position	yoga meditation zen lotus
🧘🏻 person in lotus position: light skin tone	yoga meditation zen lotus
🧘🏼 person in lotus position: medium-light skin tone	yoga meditation zen lotus
🧘🏽 person in lotus position: medium skin tone	yoga meditation zen lotus
🧘🏾 person in lotus position: medium-dark skin tone	yoga meditation zen lotus
🧘🏿 person in lotus position: dark skin tone	yoga meditation zen lotus
🧘‍♂️ man in lotus position	yoga meditation zen lotus
🧘🏻‍♂️ man in lotus position: light skin tone	yoga meditation zen lotus
🧘🏼‍♂️ man in lotus position: medium-light skin tone	yoga meditation zen lotus
🧘🏽‍♂️ man in lotus position: medium skin tone	yoga meditation zen lotus
🧘🏾‍♂️ man in lotus position: medium-dark skin tone	yoga meditation zen lotus
🧘🏿‍♂️ man in lotus position: dark skin tone	yoga meditation zen lotus
🧘‍♀️ woman in lotus position	yoga meditation zen lotus
🧘🏻‍♀️ woman in lotus position: light skin tone	yoga meditation zen lotus
🧘🏼‍♀️ woman in lotus position: medium-light skin tone	yoga meditation zen lotus
🧘🏽‍♀️ woman in lotus position: medium skin tone	yoga meditation zen lotus
🧘🏾‍♀️ woman in lotus position: medium-dark skin tone	yoga meditation zen lotus
🧘🏿‍♀️ woman in lotus position: dark skin tone	yoga meditation zen lotus
🛀 person taking bath
🛀🏻 person taking bath: light skin tone
🛀🏼 person taking bath: medium-light skin tone
🛀🏽 person taking bath: medium skin tone
🛀🏾 person taking bath: medium-dark skin tone
🛀🏿 person taking bath: dark skin tone
🛌 person in bed
🛌🏻 person in bed: light skin tone
🛌🏼 person in bed: medium-light skin tone
🛌🏽 person in bed: medium skin tone
🛌🏾 person in bed: medium-dark skin tone
🛌🏿 person in bed: dark skin tone
🧑‍🤝‍🧑 people holding hands
🧑🏻‍🤝‍🧑🏻 people holding hands: light skin tone
🧑🏻‍🤝‍🧑🏼 people holding hands: light skin tone, medium-light skin tone
🧑🏻‍🤝‍🧑🏽 people holding hands: light skin tone, medium skin tone
🧑🏻‍🤝‍🧑🏾 people holding hands: light skin tone, medium-dark skin tone
🧑🏻‍🤝‍🧑🏿 people holding hands: light skin tone, dark skin tone
🧑🏼‍🤝‍🧑🏻 people holding hands: medium-light skin tone, light skin tone
🧑🏼‍🤝‍🧑🏼 people holding hands: medium-light skin tone
🧑🏼‍🤝‍🧑🏽 people holding hands: medium-light skin tone, medium skin tone
🧑🏼‍🤝‍🧑🏾 people holding hands: medium-light skin tone, medium-dark skin tone
🧑🏼‍🤝‍🧑🏿 people holding hands: medium-light skin tone, dark skin tone
🧑🏽‍🤝‍🧑🏻 people holding hands: medium skin tone, light skin tone
🧑🏽‍🤝‍🧑🏼 people holding hands: medium skin tone, medium-light skin tone
🧑🏽‍🤝‍🧑🏽 people holding hands: medium skin tone
🧑🏽‍🤝‍🧑🏾 people holding hands: medium skin tone, medium-dark skin tone
🧑🏽‍🤝‍🧑🏿 people holding hands: medium skin tone, dark skin tone
🧑🏾‍🤝‍🧑🏻 people holding hands: medium-dark skin tone, light skin tone
🧑🏾‍🤝‍🧑🏼 people holding hands: medium-dark skin tone, medium-light skin tone
🧑🏾‍🤝‍🧑🏽 people holding hands: medium-dark skin tone, medium skin tone
🧑🏾‍🤝‍🧑🏾 people holding hands: medium-dark skin tone
🧑🏾‍🤝‍🧑🏿 people holding hands: medium-dark skin tone, dark skin tone
🧑🏿‍🤝‍🧑🏻 people holding hands: dark skin tone, light skin tone
🧑🏿‍🤝‍🧑🏼 people holding hands: dark skin tone, medium-light skin tone
🧑🏿‍🤝‍🧑🏽 people holding hands: dark skin tone, medium skin tone
🧑🏿‍🤝‍🧑🏾 people holding hands: dark skin tone, medium-dark skin tone
🧑🏿‍🤝‍🧑🏿 people holding hands: dark skin tone
👭 women holding hands
👭🏻 women holding hands: light skin tone
👩🏻‍🤝‍👩🏼 women holding hands: light skin tone, medium-light skin tone
👩🏻‍🤝‍👩🏽 women holding hands: light skin tone, medium skin tone
👩🏻‍🤝‍👩🏾 women holding hands: light skin tone, medium-dark skin tone
👩🏻‍🤝‍👩🏿 women holding hands: light skin tone, dark skin tone
👩🏼‍🤝‍👩🏻 women holding hands: medium-light skin tone, light skin tone
👭🏼 women holding hands: medium-light skin tone
👩🏼‍🤝‍👩🏽 women holding hands: medium-light skin tone, medium skin tone
👩🏼‍🤝‍👩🏾 women holding hands: medium-light skin tone, medium-dark skin tone
👩🏼‍🤝‍👩🏿 women holding hands: medium-light skin tone, dark skin tone
👩🏽‍🤝‍👩🏻 women holding hands: medium skin tone, light skin tone
👩🏽‍🤝‍👩🏼 women holding hands: medium skin tone, medium-light skin tone
👭🏽 women holding hands: medium skin tone
👩🏽‍🤝‍👩🏾 women holding hands: medium skin tone, medium-dark skin tone
👩🏽‍🤝‍👩🏿 women holding hands: medium skin tone, dark skin tone
👩🏾‍🤝‍👩🏻 women holding hands: medium-dark skin tone, light skin tone
👩🏾‍🤝‍👩🏼 women holding hands: medium-dark skin tone, medium-light skin tone
👩🏾‍🤝‍👩🏽 women holding hands: medium-dark skin tone, medium skin tone
👭🏾 women holding hands: medium-dark skin tone
👩🏾‍🤝‍👩🏿 women holding hands: medium-dark skin tone, dark skin tone
👩🏿‍🤝‍👩🏻 women holding hands: dark skin tone, light skin tone
👩🏿‍🤝‍👩🏼 women holding hands: dark skin tone, medium-light skin tone
👩🏿‍🤝‍👩🏽 women holding hands: dark skin tone, medium skin tone
👩🏿‍🤝‍👩🏾 women holding hands: dark skin tone, medium-dark skin tone
👭🏿 women holding hands: dark skin tone
👫 woman and man holding hands
👫🏻 woman and man holding hands: light skin tone
👩🏻‍🤝‍👨🏼 woman and man holding hands: light skin tone, medium-light skin tone
👩🏻‍🤝‍👨🏽 woman and man holding hands: light skin tone, medium skin tone
👩🏻‍🤝‍👨🏾 woman and man holding hands: light skin tone, medium-dark skin tone
👩🏻‍🤝‍👨🏿 woman and man holding hands: light skin tone, dark skin tone
👩🏼‍🤝‍👨🏻 woman and man holding hands: medium-light skin tone, light skin tone
👫🏼 woman and man holding hands: medium-light skin tone
👩🏼‍🤝‍👨🏽 woman and man holding hands: medium-light skin tone, medium skin tone
👩🏼‍🤝‍👨🏾 woman and man holding hands: medium-light skin tone, medium-dark skin tone
👩🏼‍🤝‍👨🏿 woman and man holding hands: medium-light skin tone, dark skin tone
👩🏽‍🤝‍👨🏻 woman and man holding hands: medium skin tone, light skin tone
👩🏽‍🤝‍👨🏼 woman and man holding hands: medium skin tone, medium-light skin tone
👫🏽 woman and man holding hands: medium skin tone
👩🏽‍🤝‍👨🏾 woman and man holding hands: medium skin tone, medium-dark skin tone
👩🏽‍🤝‍👨🏿 woman and man holding hands: medium skin tone, dark skin tone
👩🏾‍🤝‍👨🏻 woman and man holding hands: medium-dark skin tone, light skin tone
👩🏾‍🤝‍👨🏼 woman and man holding hands: medium-dark skin tone, medium-light skin tone
👩🏾‍🤝‍👨🏽 woman and man holding hands: medium-dark skin tone, medium skin tone
👫🏾 woman and man holding hands: medium-dark skin tone
👩🏾‍🤝‍👨🏿 woman and man holding hands: medium-dark skin tone, dark skin tone
👩🏿‍🤝‍👨🏻 woman and man holding hands: dark skin tone, light skin tone
👩🏿‍🤝‍👨🏼 woman and man holding hands: dark skin tone, medium-light skin tone
👩🏿‍🤝‍👨🏽 woman and man holding hands: dark skin tone, medium skin tone
👩🏿‍🤝‍👨🏾 woman and man holding hands: dark skin tone, medium-dark skin tone
👫🏿 woman and man holding hands: dark skin tone
👬 men holding hands
👬🏻 men holding hands: light skin tone
👨🏻‍🤝‍👨🏼 men holding hands: light skin tone, medium-light skin tone
👨🏻‍🤝‍👨🏽 men holding hands: light skin tone, medium skin tone
👨🏻‍🤝‍👨🏾 men holding hands: light skin tone, medium-dark skin tone
👨🏻‍🤝‍👨🏿 men holding hands: light skin tone, dark skin tone
👨🏼‍🤝‍👨🏻 men holding hands: medium-light skin tone, light skin tone
👬🏼 men holding hands: medium-light skin tone
👨🏼‍🤝‍👨🏽 men holding hands: medium-light skin tone, medium skin tone
👨🏼‍🤝‍👨🏾 men holding hands: medium-light skin tone, medium-dark skin tone
👨🏼‍🤝‍👨🏿 men holding hands: medium-light skin tone, dark skin tone
👨🏽‍🤝‍👨🏻 men holding hands: medium skin tone, light skin tone
👨🏽‍🤝‍👨🏼 men holding hands: medium skin tone, medium-light skin tone
👬🏽 men holding hands: medium skin tone
👨🏽‍🤝‍👨🏾 men holding hands: medium skin tone, medium-dark skin tone
👨🏽‍🤝‍👨🏿 men holding hands: medium skin tone, dark skin tone
👨🏾‍🤝‍👨🏻 men holding hands: medium-dark skin tone, light skin tone
👨🏾‍🤝‍👨🏼 men holding hands: medium-dark skin tone, medium-light skin tone
👨🏾‍🤝‍👨🏽 men holding hands: medium-dark skin tone, medium skin tone
👬🏾 men holding hands: medium-dark skin tone
👨🏾‍🤝‍👨🏿 men holding hands: medium-dark skin tone, dark skin tone
👨🏿‍🤝‍👨🏻 men holding hands: dark skin tone, light skin tone
👨🏿‍🤝‍👨🏼 men holding hands: dark skin tone, medium-light skin tone
👨🏿‍🤝‍👨🏽 men holding hands: dark skin tone, medium skin tone
👨🏿‍🤝‍👨🏾 men holding hands: dark skin tone, medium-dark skin tone
👬🏿 men holding hands: dark skin tone
💏 kiss
💏🏻 kiss: light skin tone
💏🏼 kiss: medium-light skin tone
💏🏽 kiss: medium skin tone
💏🏾 kiss: medium-dark skin tone
💏🏿 kiss: dark skin tone
🧑🏻‍❤️‍💋‍🧑🏼 kiss: person, person, light skin tone, medium-light skin tone
🧑🏻‍❤️‍💋‍🧑🏽 kiss: person, person, light skin tone, medium skin tone
🧑🏻‍❤️‍💋‍🧑🏾 kiss: person, person, light skin tone, medium-dark skin tone
🧑🏻‍❤️‍💋‍🧑🏿 kiss: person, person, light skin tone, dark skin tone
🧑🏼‍❤️‍💋‍🧑🏻 kiss: person, person, medium-light skin tone, light skin tone
🧑🏼‍❤️‍💋‍🧑🏽 kiss: person, person, medium-light skin tone, medium skin tone
🧑🏼‍❤️‍💋‍🧑🏾 kiss: person, person, medium-light skin tone, medium-dark skin tone
🧑🏼‍❤️‍💋‍🧑🏿 kiss: person, person, medium-light skin tone, dark skin tone
🧑🏽‍❤️‍💋‍🧑🏻 kiss: person, person, medium skin tone, light skin tone
🧑🏽‍❤️‍💋‍🧑🏼 kiss: person, person, medium skin tone, medium-light skin tone
🧑🏽‍❤️‍💋‍🧑🏾 kiss: person, person, medium skin tone, medium-dark skin tone
🧑🏽‍❤️‍💋‍🧑🏿 kiss: person, person, medium skin tone, dark skin tone
🧑🏾‍❤️‍💋‍🧑🏻 kiss: person, person, medium-dark skin tone, light skin tone
🧑🏾‍❤️‍💋‍🧑🏼 kiss: person, person, medium-dark skin tone, medium-light skin tone
🧑🏾‍❤️‍💋‍🧑🏽 kiss: person, person, medium-dark skin tone, medium skin tone
